Adamowo, 	83.49705840241245, 	0
Anglity, 	16.28436766082408, 	0
Angowice, 	9.121488293386642, 	0
Ankamaty, 	11.93494916616918, 	0
Antoniewo, 	7.708975567483526, 	0
Aplinki, 	21.69923829853415, 	0
Aptynty, 	89.66102696974536, 	0
Ardapy, 	58.48667459782026, 	0
Asuny, 	94.56329309207814, 	0
Augamy, 	30.934895756751843, 	0
Augustyny, 	23.935503104551312, 	0
Awajki, 	8.246652695329038, 	0
Babi Dół, 	11.750821991079608, 	0
Babie Doły, 	2.009949337127201, 	0
Babieniec, 	79.98802076346252, 	0
Babigoszcz, 	13.161315725491784, 	0
Babinek, 	9.910278374143607, 	0
Babięta, 	83.38917009557903, 	0
Babięty, 	74.00314505415275, 	0
Babięty Wielkie, 	74.00314505415275, 	0
Bachorze, 	70.53361400107563, 	0
Bagicz, 	0.6876800662021072, 	0
Bagienice, 	55.904078022700816, 	0
Bagienice Małe, 	81.34998270895642, 	0
Bagniewko, 	37.71014917690255, 	0
Bagnity, 	3.7062093525290973, 	0
Bajdyty, 	67.82099494344985, 	0
Baldram, 	15.89060460906435, 	0
Balewko, 	5.969456135126176, 	0
Balewo, 	5.0494566892151695, 	0
Baniewice, 	2.809811694145245, 	0
Barchnowy, 	25.175095896816842, 	0
Barciany, 	93.82452854933874, 	1100
Barciszewo, 	53.57605157142866, 	0
Barczewko, 	39.01240820038468, 	0
Barczewo, 	45.91160835960919, 	7315
Bardyny, 	25.102970691790105, 	0
Bardzlino, 	19.570767843023845, 	0
Bargędzino, 	5.135237080530783, 	0
Barkocin, 	26.497230833306414, 	0
Barkowo, 	9.763411646509834, 	0
Barlewice, 	16.812623023509452, 	0
Barlinek, 	16.241037323807763, 	14385
Barnim, 	49.758886658138046, 	0
Barnimie, 	29.83700354995733, 	0
Barnisław, 	15.262686164366619, 	0
Barnówko, 	25.712382743155818, 	286
Bartel Wielki, 	14.228631269567138, 	0
Bartniki, 	98.00442723845444, 	0
Bartno, 	11.062933056525505, 	0
Bartolino, 	14.220877770860419, 	0
Bartoszki, 	51.65569787040945, 	0
Bartoszyce, 	62.526840258420826, 	25660
Bartoszylas, 	7.407671923858011, 	0
Bartołty Małe, 	56.59741851861125, 	0
